Country name,GDP,Happiness
Finland,10.792,7.804
Denmark,10.962,7.586
Iceland,10.896,7.53
Israel,10.639,7.473
Netherlands,10.942,7.403
Sweden,10.883,7.395
Norway,11.088,7.315
Switzerland,11.164,7.24
Luxembourg,11.66,7.228
New Zealand,10.662,7.123
Austria,10.899,7.097
Australia,10.821,7.095
Canada,10.773,6.961
Ireland,11.527,6.911
United States,11.048,6.894
Germany,10.879,6.892
Belgium,10.844,6.859
Czechia,10.611,6.845
United Kingdom,10.704,6.796
Lithuania,10.568,6.763
France,10.701,6.661
Slovenia,10.588,6.65
Costa Rica,9.952,6.609
Romania,10.339,6.589
Singapore,11.571,6.587
United Arab Emirates,11.145,6.571
Taiwan Province of China,10.797,6.535
Uruguay,10.037,6.494
Slovakia,10.353,6.469
Saudi Arabia,10.715,6.463
Estonia,10.541,6.455
Spain,10.54,6.436
Italy,10.634,6.405
Kosovo,9.359,6.368
Chile,10.114,6.334
Mexico,9.85,6.33
Malta,10.661,6.3
Panama,10.305,6.265
Poland,10.453,6.26
Nicaragua,8.618,6.259
Latvia,10.37,6.213
Bahrain,10.776,6.173
Guatemala,9.116,6.15
Kazakhstan,10.166,6.144
Serbia,9.854,6.144
Cyprus,10.611,6.13
Japan,10.616,6.129
Croatia,10.341,6.125
Brazil,9.582,6.125
El Salvador,9.089,6.122
Hungary,10.419,6.041
Argentina,9.959,6.024
Honduras,8.635,6.023
Uzbekistan,8.948,6.014
Malaysia,10.169,6.012
Portugal,10.429,5.968
South Korea,10.693,5.951
Greece,10.288,5.931
Mauritius,9.957,5.902
Thailand,9.751,5.843
Mongolia,9.372,5.84
Kyrgyzstan,8.486,5.825
Moldova,9.499,5.819
China,9.738,5.818
Vietnam,9.287,5.763
Paraguay,9.51,5.738
Montenegro,9.813,5.722
Jamaica,9.165,5.703
Bolivia,8.985,5.684
Russia,10.21,5.661
Bosnia and Herzegovina,9.616,5.633
Colombia,9.584,5.63
Dominican Republic,9.811,5.569
Ecuador,9.27,5.559
Peru,9.402,5.526
Philippines,8.979,5.523
Bulgaria,10.087,5.466
Nepal,8.256,5.36
Armenia,9.615,5.342
Tajikistan,8.237,5.33
Algeria,9.3,5.329
Hong Kong S.A.R. of China,10.966,5.308
Albania,9.567,5.277
Indonesia,9.385,5.277
South Africa,9.478,5.275
Congo (Brazzaville),8.095,5.267
North Macedonia,9.703,5.254
Venezuela,5.527,5.211
Laos,8.962,5.111
Georgia,9.646,5.109
Guinea,7.88,5.072
Ukraine,9.314,5.071
Ivory Coast,8.576,5.053
Gabon,9.537,5.035
Nigeria,8.496,4.981
Cameroon,8.217,4.973
Mozambique,7.116,4.954
Iraq,9.098,4.941
State of Palestine,8.716,4.908
Morocco,8.973,4.903
Iran,9.61,4.876
Senegal,8.155,4.855
Mauritania,8.591,4.724
Burkina Faso,7.667,4.638
Namibia,9.121,4.631
Turkiye,10.307,4.614
Ghana,8.596,4.605
Pakistan,8.54,4.555
Niger,7.091,4.501
Tunisia,9.244,4.497
Kenya,8.458,4.487
Sri Lanka,9.491,4.442
Uganda,7.716,4.432
Chad,7.261,4.397
Cambodia,8.385,4.393
Benin,8.103,4.374
Myanmar,8.404,4.372
Bangladesh,8.685,4.282
Gambia,7.648,4.279
Mali,7.655,4.198
Egypt,9.367,4.17
Togo,7.673,4.137
Jordan,9.13,4.12
Ethiopia,7.739,4.091
Liberia,7.277,4.042
India,8.759,4.036
Madagascar,7.29,4.019
Zambia,8.074,3.982
Tanzania,7.857,3.694
Comoros,8.075,3.545
Malawi,7.302,3.495
Botswana,9.629,3.435
Congo (Kinshasa),7.007,3.207
Zimbabwe,7.641,3.204
Sierra Leone,7.394,3.138
Lebanon,9.478,2.392
Afghanistan,7.324,1.859