country,GDP,support,life,freedom
Finland,10.792,0.969,71.15,0.961
Denmark,10.962,0.954,71.25,0.934
Iceland,10.896,0.983,72.05,0.936
Israel,10.639,0.943,72.697,0.809
Netherlands,10.942,0.93,71.55,0.887
Sweden,10.883,0.939,72.15,0.948
Norway,11.088,0.943,71.5,0.947
Switzerland,11.164,0.92,72.9,0.891
Luxembourg,11.66,0.879,71.675,0.915
New Zealand,10.662,0.952,70.35,0.887
Austria,10.899,0.888,71.15,0.855
Australia,10.821,0.934,71.05,0.89
Canada,10.773,0.929,71.4,0.874
Ireland,11.527,0.905,71.3,0.874
United States,11.048,0.919,65.85,0.8
Germany,10.879,0.896,71.3,0.846
Belgium,10.844,0.915,70.899,0.825
Czechia,10.611,0.953,69.05,0.903
United Kingdom,10.704,0.882,70.3,0.852
Lithuania,10.568,0.939,67.397,0.748
France,10.701,0.909,72.3,0.819
Slovenia,10.588,0.951,71.052,0.913
Costa Rica,9.952,0.872,70,0.895
Romania,10.339,0.848,67.051,0.856
Singapore,11.571,0.878,73.8,0.878
United Arab Emirates,11.145,0.826,66.243,0.942
Taiwan Province of China,10.797,0.884,69.6,0.804
Uruguay,10.037,0.913,67.5,0.895
Slovakia,10.353,0.953,68.838,0.753
Saudi Arabia,10.715,0.884,64.399,0.894
Estonia,10.541,0.946,69.65,0.929
Spain,10.54,0.932,72.35,0.782
Italy,10.634,0.882,72.05,0.711
Kosovo,9.359,0.844,65.195,0.861
Chile,10.114,0.889,70.3,0.792
Mexico,9.85,0.804,65.8,0.856
Malta,10.661,0.923,71.6,0.886
Panama,10.305,0.896,68.95,0.855
Poland,10.453,0.925,69.049,0.765
Nicaragua,8.618,0.853,65.65,0.877
Latvia,10.37,0.937,66.4,0.818
Bahrain,10.776,0.844,65.825,0.944
Guatemala,9.116,0.812,62.9,0.856
Kazakhstan,10.166,0.931,65.802,0.853
Serbia,9.854,0.873,67.088,0.845
Cyprus,10.611,0.826,72.802,0.724
Japan,10.616,0.894,74.349,0.799
Croatia,10.341,0.917,68.95,0.757
Brazil,9.582,0.836,65.749,0.801
El Salvador,9.089,0.755,65.597,0.918
Hungary,10.419,0.943,67.5,0.758
Argentina,9.959,0.891,67.2,0.823
Honduras,8.635,0.766,64.063,0.843
Uzbekistan,8.948,0.875,65.301,0.938
Malaysia,10.169,0.799,65.662,0.877
Portugal,10.429,0.878,71.25,0.902
South Korea,10.693,0.812,73.65,0.717
Greece,10.288,0.835,71.15,0.568
Mauritius,9.957,0.888,63.85,0.813
Thailand,9.751,0.874,68.45,0.85
Mongolia,9.372,0.933,60.5,0.701
Kyrgyzstan,8.486,0.911,66.852,0.934
Moldova,9.499,0.857,65.299,0.84
China,9.738,0.836,68.689,0.882
Vietnam,9.287,0.821,65.502,0.939
Paraguay,9.51,0.906,65.9,0.891
Montenegro,9.813,0.89,67.1,0.805
Jamaica,9.165,0.867,66.6,0.822
Bolivia,8.985,0.811,63.599,0.868
Russia,10.21,0.889,64.947,0.719
Bosnia and Herzegovina,9.616,0.88,67.275,0.746
Colombia,9.584,0.822,69.35,0.804
Dominican Republic,9.811,0.827,64.399,0.85
Ecuador,9.27,0.806,69,0.802
Peru,9.402,0.798,69.85,0.794
Philippines,8.979,0.78,62.038,0.919
Bulgaria,10.087,0.918,66.5,0.801
Nepal,8.256,0.748,61.847,0.808
Armenia,9.615,0.79,67.789,0.796
Tajikistan,8.237,0.836,62.226,0.832
Algeria,9.3,0.855,66.549,0.571
Hong Kong S.A.R. of China,10.966,0.817,77.28,0.687
Albania,9.567,0.718,69.15,0.794
Indonesia,9.385,0.804,63.048,0.88
South Africa,9.478,0.907,56.989,0.73
Congo (Brazzaville),8.095,0.605,56.85,0.73
North Macedonia,9.703,0.805,66.5,0.769
Venezuela,5.527,0.839,64.05,0.659
Laos,8.962,0.679,60.946,0.919
Georgia,9.646,0.716,64.95,0.786
Guinea,7.88,0.649,54.185,0.659
Ukraine,9.314,0.878,64.55,0.795
Ivory Coast,8.576,0.572,55.953,0.733
Gabon,9.537,0.746,58.252,0.642
Nigeria,8.496,0.74,54.891,0.718
Cameroon,8.217,0.686,55.847,0.686
Mozambique,7.116,0.692,51.53,0.851
Iraq,9.098,0.718,63.415,0.646
State of Palestine,8.716,0.859,,0.694
Morocco,8.973,0.553,63.901,0.787
Iran,9.61,0.778,66.6,0.593
Senegal,8.155,0.629,59.999,0.772
Mauritania,8.591,0.644,60.475,0.622
Burkina Faso,7.667,0.663,55.461,0.696
Namibia,9.121,0.787,56.851,0.669
Turkiye,10.307,0.796,68.663,0.475
Ghana,8.596,0.641,58.763,0.777
Pakistan,8.54,0.601,57.313,0.766
Niger,7.091,0.59,56.55,0.788
Tunisia,9.244,0.73,67,0.576
Kenya,8.458,0.69,58.499,0.696
Sri Lanka,9.491,0.826,67.15,0.787
Uganda,7.716,0.794,58.913,0.701
Chad,7.261,0.722,53.125,0.677
Cambodia,8.385,0.747,61.9,0.958
Benin,8.103,0.437,56.095,0.743
Myanmar,8.404,0.787,61.388,0.727
Bangladesh,8.685,0.544,64.548,0.845
Gambia,7.648,0.584,57.9,0.596
Mali,7.655,0.593,55.403,0.713
Egypt,9.367,0.726,63.503,0.732
Togo,7.673,0.595,57.449,0.657
Jordan,9.13,0.729,67.6,0.77
Ethiopia,7.739,0.782,60.698,0.72
Liberia,7.277,0.596,56.7,0.735
India,8.759,0.608,60.777,0.897
Madagascar,7.29,0.65,58.05,0.522
Zambia,8.074,0.694,55.032,0.791
Tanzania,7.857,0.653,59.401,0.838
Comoros,8.075,0.471,59.425,0.47
Malawi,7.302,0.531,58.475,0.75
Botswana,9.629,0.753,54.725,0.742
Congo (Kinshasa),7.007,0.652,55.375,0.664
Zimbabwe,7.641,0.69,54.05,0.654
Sierra Leone,7.394,0.555,54.9,0.66
Lebanon,9.478,0.53,66.149,0.474
Afghanistan,7.324,0.341,54.712,0.382